city,state,latitude,longitude,
Rivlobep,MN,6.36175,37.19513,
Hedacop,PA,2.9679,47.17875,
Kicarmo,AA,45.60977,78.99997,
Akagofef,AL,-5.95473,63.07614,
Viwjufwel,WA,-36.52265,10.56202,
Siileki,TX,-42.03752,151.34086,
Aptukdi,DE,-4.96289,79.64214,
Towucih,CT,-49.24429,48.68141,
Omofutun,GU,-84.51177,10.66619,
Mupdoicu,AK,-4.20378,124.58385,
Ohoakooho,AA,0.38625,117.12568,
Lawhubwe,ID,-42.65084,119.30831,
Nihbifno,TN,-75.71409,45.3627,
Jegalwo,PR,-16.29512,70.58137,
Tohmilo,AK,5.17903,18.95315,
Cojacrit,IA,42.12174,146.24505,
Nigcoca,AA,-33.76478,4.32216,
Misezlu,MT,7.41824,94.54908,
Zodana,PA,56.57354,108.88501,
Rafcunape,OH,13.73227,49.88982,
Sejdimjab,AL,-19.21232,67.18573,
Sulova,AK,-55.9843,23.32898,
Zeburfo,FM,-54.92246,116.10535,
Gutete,MN,84.36326,74.84363,
Jirlewem,WV,58.32155,31.19051,
Zaskoun,SD,-56.56115,14.77071,
Gonusu,GA,33.63177,80.6697,
Tacazfen,NC,-60.99775,126.27046,
Pughovha,NE,37.35686,32.88655,
Vijirwon,AE,-83.10271,139.71259,
Garkoje,ID,13.57102,113.54467,
Ezahepa,NJ,-26.78827,84.33176,
Nejeabu,WA,-56.17407,117.0826,
Nenrudad,VI,-21.13283,80.41783,
Vitanazi,IL,-71.49621,94.91266,
Kuwjofpa,MN,-81.65013,1.27828,
Igeelulo,AP,51.43639,94.82909,
Ruelga,IN,71.05736,20.68914,
Evfedamo,MT,77.63601,139.8682,
Gitiho,NC,-69.57606,137.52726,
Kammitsun,TX,-6.91416,153.96144,
Niferora,OK,-61.53388,97.79822,
Pubesil,ME,-28.11866,138.96839,
Kezbipvor,IL,71.06747,144.67469,
Enifuvso,NH,55.87123,57.17187,
Morzezve,IN,63.06552,74.41732,
Necoot,FM,-66.42958,140.24965,
Ukkudaw,GA,59.43711,43.40761,
Ibkaki,AS,18.78702,90.79624,
Nuwziwcov,AA,-33.30708,121.3515,
Tisbozak,WI,-25.46941,146.66009,
Pocapozi,MA,-39.5595,46.83973,
Luumda,ME,42.4391,153.03889,
Ejwuzpum,WV,39.37819,7.62519,
Kunnozo,IA,62.16527,172.52949,
Zodedob,HI,74.66244,160.77922,
Udebukcev,NY,-24.51989,99.84195,
Wogrove,ND,39.48214,73.06937,
Ovwabfuf,VT,60.41378,156.74728,
Owfahep,VA,-33.9233,13.53767,
Fakimdas,FL,43.97953,17.14443,
Sawujer,ND,-31.26179,143.02271,
Lundalib,WY,-64.96779,69.45139,
Idzufcuw,MP,-24.12953,118.33627,
Nopevo,NY,14.46015,112.7318,
Ilafikcec,VI,-51.14565,123.29865,
Wejoza,PR,-21.04814,64.29963,
Makehki,WV,-82.79337,77.2291,
Jidsozoj,OK,52.00419,170.89603,
Juginlo,MN,0.39888,78.60498,
Fuadoih,NY,-23.15744,90.6854,
Osizvo,NY,-60.47225,138.51491,
Wampean,AZ,-55.60015,52.38555,
Fihidtuf,NE,-78.40203,46.67053,
Izeupgi,AK,-69.97203,99.72062,
Kuwfuusu,AA,-71.94321,31.62015,
Kewizod,UT,-12.19999,160.70072,
Hozasul,NJ,4.7638,80.8202,
Tilibgeh,PA,63.29826,121.07207,
Hupsemasa,OH,-72.32645,6.73009,
Ujavoraw,KY,-50.91901,98.79864,
Riejzi,DC,-89.34074,40.76083,
Enukijev,ID,-82.49863,168.42546,
Wiwikle,MI,21.98317,166.42006,
Wirkauc,MS,50.46271,44.2634,
Renjicwom,ME,64.34206,34.06106,
Loblecpa,MP,13.77464,27.73487,
Panwuek,KS,60.29244,108.0387,
Umufur,WV,-18.0396,146.05348,
Turijtid,NM,11.61379,140.28419,
Muceduadi,VA,65.94385,45.99318,
Lumrathu,NM,-82.94071,93.79441,
Cuhcalbo,MP,67.17185,132.12846,
Takanit,SD,56.42355,56.3725,
Efisokges,WV,75.64804,114.79074,
Siiwjo,AS,9.34839,40.39031,
Giforcuk,WV,-79.29636,76.26023,
Homnovika,MP,21.79109,107.51847,
Zadadfap,OR,34.10283,76.77023,
Muipsuf,MI,-73.48476,102.77431,
Bejojga,CT,-68.73865,106.15006,
Debreeci,ID,-64.07485,146.77053,
Akuracur,HI,27.44155,89.68893,
Ismedoba,CA,-53.5072,39.45256,
Himebu,HI,88.38325,150.81582,
Robaggoh,CT,-84.19108,70.16547,
Fownugano,NJ,-10.64203,73.07285,
Avtihi,AR,18.14754,30.60163,
Kahemaz,WA,78.79783,38.25231,
Nagrerka,UT,-15.72774,163.56108,
Ofeiliab,CT,38.71946,109.59844,
Zokakig,WA,-83.17949,143.36439,
Lobiwit,TN,-77.62216,115.29471,
Hovuzowo,ND,-81.74731,56.31633,
Owwime,CT,62.02596,62.38914,
Fetcadbop,NM,4.24848,163.0073,
Pefohka,MO,77.48113,148.36707,
Pawjumta,WA,4.93194,49.53095,
Ipgigun,AS,70.31111,141.27072,
Vujhuro,MI,74.34577,69.67823,
Damvuku,AP,-4.11282,147.09657,
Wecwoupe,MS,48.86622,166.76524,
Orficva,OK,25.61206,56.6085,
Tacuhig,AL,-5.97096,42.92886,
Zukupliv,VA,-56.5539,160.06876,
Fagolme,NJ,68.8517,30.83316,
Mihojoj,AK,-21.87694,54.07166,
Emrace,HI,33.92715,96.78642,
Mausnug,MH,31.47016,58.77971,
Ikadovheb,IL,19.63345,90.55382,
Govjooga,VA,58.20704,146.48849,
Behjowo,NY,-59.81987,147.62297,
Ummegi,DE,74.34654,5.39863,
Ajilamje,MI,59.91486,168.73531,
Siztupu,GA,59.7651,159.56637,
Ruetumij,MP,-21.45781,74.52712,
Rurwakto,AZ,32.39874,148.37924,
Lirova,AA,-54.24197,71.00263,
Tobepdu,MA,84.56874,108.75179,
Kiemedul,NY,47.67741,33.37459,
Alricih,FM,-66.55033,56.78818,
Ewtuju,SC,45.20698,107.97142,
Anaduzo,AA,-27.19872,87.12362,
Mawuceev,WV,35.14508,33.54011,
Riadumos,OR,28.56001,94.95731,
Binhucvi,HI,60.81037,10.03837,
Maprifo,NE,-9.50086,27.20599,
Delekon,HI,52.495,43.83355,
Uzogahug,UT,83.68922,158.10952,
Deopauga,CA,50.01724,58.66572,
Wagzuure,AZ,-25.82185,69.00383,
Nimcojger,ID,67.25287,37.4254,
Juhirkaz,IN,22.788,138.37966,
Omoekpo,IN,89.24271,101.73631,
Ehowazsoz,UT,14.77668,54.68748,
Japbaslas,AR,70.78505,88.30781,
Ebdapul,PR,-68.44907,19.16931,
Haccaoce,MO,-17.47346,64.24164,
Akcodfic,OK,53.11929,132.19829,
Mezjiru,IA,-33.47389,35.19275,
Jufmagrud,DE,30.34049,122.95393,
Gefziwgo,AE,29.15675,49.2677,
Uwadegi,WV,44.65723,106.92452,
Isafdir,VI,-38.12686,15.46676,
Elotrec,ME,66.18967,165.80228,
Juholsaf,ND,-4.32766,151.86978,
Rempoteg,NY,88.5859,58.88341,
Gizuwta,AK,-32.50594,156.31008,
Litgoke,GA,-27.56682,13.88246,
Tonditsit,HI,-21.69211,4.58354,
Lonaco,NE,-6.60378,136.77481,
Owiwodas,MT,-32.08737,179.18008,
Osezaztu,MD,62.90638,119.53381,
Ipfutozu,DC,70.54406,25.91566,
Uwbife,NV,-83.02896,44.23929,
Isahuihi,AP,63.3289,162.82581,
Ridouko,VT,-76.41048,159.8185,
Saragof,KY,5.19193,13.47057,
Onewubak,MO,-32.9504,124.21052,
Rozingu,AP,3.39145,135.01142,
Adjafa,AE,79.73508,55.85697,
Kabdinguz,WY,-81.45566,62.74191,
Eseemtuj,OH,82.39077,91.96452,
Paciwdu,TX,-80.95887,24.41919,
Afuulavoj,MH,-38.21908,93.6864,
Iverufid,WI,-79.26012,16.11457,
Nafnolzid,SD,-66.22572,28.95347,
Vedaeda,MS,-2.76154,74.93671,
Vicuho,DE,-0.42857,124.73227,
Bifseiz,MI,-56.95639,30.38954,
Homseohe,ND,-63.94371,43.35837,
Adpefa,MI,61.15717,112.31223,
Dinimwiz,VT,28.00415,173.55809,
Tezetip,MI,-10.95256,156.25673,
Gifaifu,AA,66.09119,82.52508,
Dernezti,MA,-61.07477,176.7504,
Nejeato,OR,24.37046,59.91219,
Zohhujzi,OK,-22.64951,151.82945,
Genruuke,MH,36.2843,85.47997,
Tibedi,FM,47.31871,163.09511,
Naengam,SC,-87.58443,96.51851,
Diiscoc,WY,-88.96999,137.4899,
Munnaoco,KS,55.88856,11.52062,
Lefmiwdej,VI,-56.10133,63.05718,
Howazwuj,AR,-82.5602,143.82504,
Pidfifso,MS,27.86784,63.30242,
Suofco,NY,-40.722,5.41297,
Geviema,ME,57.55362,39.71118,
Zitfoctov,TX,-82.97082,159.35381,
Ozaackew,IN,41.15433,42.45624,
Gumjazge,KY,37.11585,37.52001,
Jiatede,VI,-47.76479,25.01494,
Deguavu,KS,87.05291,67.23563,
Ahowendi,ME,-41.92726,152.53875,
Ferurmu,ND,-38.37998,3.71386,
Livuwevuc,MP,-80.56154,85.65106,
Jedocrus,AP,-16.75421,76.68718,
Maslova,GA,3.55214,37.20129,
Zohbudzev,AZ,6.18217,112.23717,
Irkaja,NY,13.31421,140.24254,
Kicowila,AL,-66.57911,173.68829,
Ebejalok,AA,86.65048,81.67384,
Rebivu,IN,19.22647,44.88807,
Hadzatbeg,OK,-67.93322,92.78573,
Sijdusvo,MI,23.8649,132.83012,
Tonafgom,MA,-69.9805,110.61172,
Rewbifaw,AE,-4.02687,115.1736,
Tiwwalo,NE,47.30361,79.55374,
Jikurfo,WY,86.46931,65.32251,
Gaepisu,GU,76.79525,26.49562,
Bauknod,WV,-9.82532,68.31083,
Purupvuw,FM,-58.49485,169.24938,
Turfufge,DE,-2.03888,95.3515,
Vasudev,ID,37.7525,172.89546,
Tenmekoj,NY,42.66181,48.85119,
Ominalhuf,ND,87.51023,86.34733,
Zenuhed,TN,62.49947,86.9504,
Pefiga,NE,-28.17827,147.87164,
Icoezule,OK,-9.8973,107.60839,
Hutdavpi,MA,-25.31816,63.27785,
Fodunubi,MT,-80.0702,103.41855,
Gozibfu,NH,24.84483,8.58427,
Vukridi,SC,82.68562,156.67543,
Kewepno,IN,40.58562,106.73979,
Zezokimu,KS,38.25359,28.49139,
Fahegorop,NH,64.0813,11.45734,
Ewiokufac,KS,-83.39215,77.78453,
Tantisba,WV,-73.03337,167.01184,
Azejenbo,AR,-87.5254,138.73749,
Odnagiko,OK,68.90324,35.26279,
Jisnowi,MN,24.75013,33.16605,
Gaasoze,DC,36.14421,52.84322,
Towezisep,MS,63.90838,156.62462,
Vubela,RI,-73.86835,97.61676,
Kicelmul,IL,49.33361,21.03701,
Kamijmid,LA,22.97384,90.81722,
Salitiwi,AS,43.66517,64.52425,
Fezojoka,AP,-59.80758,67.39361,
Ivujebjok,AR,-16.46473,40.06012,
Lepucpes,TN,-14.47113,131.85611,
Horvefap,DC,-34.46168,161.29115,
Nibsabej,RI,-62.52403,119.84364,
Vaiwuero,RI,13.10024,130.08818,
Ehbojri,DC,-83.93539,97.24932,
Tungeka,CT,12.69677,107.80056,
Maritdi,WY,-11.59751,167.43572,
Tepgojfiv,DC,77.55248,171.80319,
Nasofu,MP,-11.37773,76.1504,
Mamcoku,PA,43.90959,28.9864,
Ferommic,SD,20.29727,137.96829,
Vozbicheb,RI,-87.35372,126.62588,
Sujmoses,AK,-74.04957,175.87208,
Koweupu,ID,66.01802,91.99392,
Ripalide,AE,5.9318,144.31532,
Muhkaok,AK,-10.06059,84.00141,
Fasensif,VT,68.52822,78.18487,
Zahaiw,AZ,-78.38441,58.25804,
Vufewe,AL,58.98864,33.27204,
Mofwabpu,ID,44.00035,3.07248,
Gevfehedu,ME,30.88667,48.03092,
Soewus,MT,73.42022,120.68869,
Nuwuca,PA,70.16963,147.38992,
Jimeresew,WY,88.95671,76.69326,
Ritugug,MA,-72.36381,103.05699,
Hegifsab,CT,-65.79987,179.76328,
Muidum,CT,73.12757,2.44603,
Jadmiri,MS,-17.52414,96.87097,
Ziukune,LA,-43.97242,34.12917,
Zavbufop,MP,0.21151,162.69083,
Iwikawlu,WY,63.08553,101.35694,
Zibevdet,MI,14.74954,112.57449,
Hinuhpe,CT,-21.83336,147.77559,
Tucwizu,UT,-53.90002,134.77628,
Janalujo,ND,51.62963,105.01185,
Idgomu,MN,43.57932,111.06309,
Hotjotkuj,DE,-69.13267,122.19519,
Laivorev,CA,-0.66162,31.82575,
Nicsihoc,SD,19.73565,115.97586,
Rufagaepe,ID,70.88379,170.75474,
Gewulo,NH,-1.0218,112.51603,
Jejistiw,NJ,9.14525,156.94145,
Upgamluj,MH,-40.58905,97.115,
Nirume,LA,39.34928,99.09125,
Tusfelan,FM,16.24719,163.37128,
Hakuhep,IN,16.52387,60.76999,
Uwozolim,MO,40.75554,142.45646,
Idonagli,NE,-15.06497,102.42309,
Enibioku,MT,-1.53758,122.60492,
Uwfuhe,OR,85.65535,113.30827,
Valdoiz,AK,51.86521,105.57476,
Tomgufus,OR,83.43221,80.63408,
Jotoan,AK,-49.67713,102.42432,
Taseforo,PR,36.05224,84.33468,
Zezpedtid,IA,-75.37126,43.91273,
Cijivuv,MA,18.45189,75.124,
Vegoki,GA,59.77318,19.58532,
Zetidzuj,IA,-66.16601,6.86125,
Hanmoah,WY,61.19419,123.79036,
Kuwihas,GA,-74.28781,168.84792,
Nazakah,DE,35.59522,142.69862,
Modewur,WY,37.49831,96.69803,
Zavdagod,NJ,-58.35742,69.51766,
Vobalagi,AK,-8.80574,129.80565,
Curmapun,NC,-70.52476,9.03838,
Virueb,DE,33.59821,92.36515,
Wulnota,PR,11.17268,51.8726,
Nuctauk,NV,32.7179,72.08325,
Cevupena,OH,-70.10478,98.74987,
Foldimup,AK,-11.06019,74.3058,
Ganwumonu,AA,9.76466,133.24244,
Veijede,MP,-86.80355,86.14071,
Woosevuk,NV,62.43156,85.18774,
Gopzuneh,UT,-54.38833,131.97856,
Tawtizali,OR,74.88187,144.04451,
Fezegta,MS,-89.53431,154.04078,
Tadojudu,VT,-86.81224,31.23327,
Kowoowi,AS,15.3905,167.23755,
Inokefo,LA,-80.42421,123.35799,
Fehujpa,IN,-21.94153,152.37261,
Jejumum,TN,-41.92261,107.8363,
Jivtotir,LA,60.47948,29.14016,
Folene,TX,-6.65749,79.6995,
Ejaluasa,AE,-62.99564,15.02468,
Wawduzvi,MS,59.98088,47.58211,
Notihmu,MO,-82.2355,77.13092,
Rungisgew,TX,-72.18875,24.58117,
Evnusliz,AZ,-15.64303,153.83138,
Emgeara,NM,34.8093,70.83164,
Fechego,SC,-27.28646,78.72735,
Caagocel,NM,-52.03812,164.6565,
Rekmizguz,HI,9.83195,146.00419,
Sewemoc,KS,-39.86051,79.79141,
Nircapvib,HI,54.86323,148.99062,
Rehapofu,LA,56.76454,8.45035,
Urtojahe,WI,-36.15583,53.20836,
Kipazo,SC,-52.61363,100.21273,
Kawake,DC,74.55731,84.49897,
Celdoami,RI,2.43532,68.50021,
Gafalnoh,IN,-50.99209,11.58269,
Azzobu,MT,10.21838,118.08927,
Wonubag,WV,-77.04246,101.31258,
Efugjep,AZ,-76.04394,158.18429,
Leveuri,ND,-85.80145,70.00496,
Atadlov,MD,-11.18028,115.91071,
Mazraret,OR,65.39016,61.70018,
Cotoze,MA,47.73956,76.52161,
Ulelibo,AR,19.1489,140.8368,
Coutza,KY,21.24723,8.92242,
Oztirnuh,DE,46.60223,109.8355,
Naghuvor,AL,51.47964,178.23116,
Agzekkar,DC,51.36367,33.13845,
Isedoba,MD,-61.33558,125.676,
Lohbemon,DC,-15.31225,114.15577,
Heipwob,ME,-17.20284,52.17721,
Tijeko,AS,44.06334,33.35968,
Ukuuwpaf,WV,-47.20037,112.70658,
Vetpeteb,KY,32.66619,31.1297,
Pikisa,NJ,21.912,45.53583,
Honiud,GA,26.05859,78.31254,
Cibsoruv,AK,6.76205,29.72337,
Ejborav,NH,-87.96715,160.64065,
Cugutah,MH,-39.59334,93.43652,
Pojdawbo,NE,-55.30587,48.47961,
Hemzawis,OK,-88.20233,79.30146,
Difelwi,WY,60.08842,114.81257,
Eblucez,ND,-3.98169,137.49075,
Bezzowi,OK,-28.90634,154.87612,
Sejikele,ME,39.42239,76.67774,
Homhehzuc,AR,61.19779,171.31655,
Labudku,OH,-23.63891,51.10766,
Ragkozaj,MD,-42.18397,151.80828,
Ehkucrov,OR,60.10238,172.91849,
Nidamusu,DC,16.19677,94.0569,
Vohakah,MA,-2.67173,14.47204,
Kaceppa,NJ,-85.07125,39.76331,
Pesosi,AK,-9.63209,41.88613,
Micreip,IN,-41.93164,166.37344,
Ijecaljav,MP,69.79946,0.72656,
Marihen,NM,-24.72852,109.63162,
Maacadon,OK,-26.19258,61.99123,
Suresge,VA,-29.72806,17.33723,
Gismako,MH,12.7536,59.12461,
Lewonoes,IN,-63.24446,104.79225,
Rukumap,WA,16.79431,159.32617,
Aboehlon,WV,-2.39212,132.27357,
Jiweruv,OR,-54.6762,120.39627,
Sohteodu,GA,-27.90517,143.38242,
Vetpavjam,VI,29.78843,86.75509,
Loboloja,PR,65.29395,112.54469,
Souzrap,VT,-23.07731,62.15757,
Retbiwer,AP,74.25618,73.26357,
Pepfoeve,AE,45.71627,98.69482,
Dokaska,UT,56.6242,85.454,
Girekih,KS,76.58369,16.92,
Esguvivu,AK,-55.99407,111.31563,
Zubumelo,OR,-28.03116,12.8625,
Topjimse,FM,49.07815,46.77945,
Gevjosum,NC,0.8483,45.97856,
Mazdigter,IN,-29.97676,123.58352,
Befhopez,TN,-36.88676,105.7443,
Decfabej,SC,58.12516,8.16706,
Gucepzu,NM,-7.66868,78.63205,
Lutafeca,NV,-56.03993,18.53963,
Pectebwit,RI,-86.58301,33.43853,
Fotkate,MP,-2.60619,76.52569,
Gawemtaz,KS,-5.88072,54.36808,
Vajorpur,AS,-55.79124,50.9487,
Juwagjac,NE,-8.73625,8.38785,
Lowapimu,GU,-49.91575,173.39392,
Hakiba,DE,-8.92882,72.59062,
Saozeam,LA,26.09098,167.38318,
Zecfewu,CA,38.77118,114.82229,
Bakipiib,NC,-21.43353,85.87075,
Azburwev,WV,38.37652,140.37533,
Poveler,NC,39.28716,139.47511,
Viwilmej,MH,-84.29008,178.00203,
Veuhipu,OK,63.57872,1.80212,
Onebuva,KY,-43.0178,137.15793,
Wevecise,OK,45.97671,169.24802,
Vuurcak,WV,40.94888,0.57317,
Muehiite,NM,-53.47345,39.34303,
Dowdora,RI,-72.00033,54.5333,
Isubipig,GA,32.24436,0.42708,
Robuhibag,AZ,-15.01566,144.38684,
Simfehej,DE,-52.68371,96.95227,
Igfepa,NH,-34.27769,57.34476,
Damsejnu,MH,65.03232,47.44591,
Vezucno,AA,56.33189,155.92011,
Otoguzni,WY,51.83964,168.56981,
Ejinucpuj,PA,-45.61945,3.74849,
Rocfauf,UT,70.1813,29.57691,
Ifokido,VA,34.17977,139.38257,
Duvofomuh,VT,-83.92545,116.42542,
Owgomeh,ME,13.56704,119.95012,
Telocdu,NE,60.41002,85.08077,
Eroriwo,AZ,41.30796,117.36384,
Egiukues,OR,-12.41485,161.92119,
Abijapvan,ID,-12.30314,2.6446,
Edgizowo,IL,-52.19146,37.91172,
Sugevi,SC,54.32195,166.20964,
Ronimsom,ND,-10.53864,24.70967,
Wuzbotawi,HI,51.28031,165.54104,
Ikakuige,MP,-34.50488,77.71385,
Nezhueve,VT,86.35789,168.8843,
Poeniana,AE,-55.04808,78.21334,
Daezhi,KS,89.44847,20.18288,
Bufcopgak,WA,55.48319,73.25174,
Gutdehu,AE,80.76595,12.88016,
Edupigob,AL,-79.84488,58.2089,
Tojzagdic,OH,-9.24581,52.16463,
Roehugow,NJ,59.78826,147.64268,
Pilodpuh,IL,17.44923,151.15545,
Ivenupeku,ND,-10.86581,44.19994,
Beskogo,MO,70.53455,131.59754,
Gukdatzif,GU,49.92491,166.89511,
Guvooz,AK,-70.66992,57.38551,
Vawuago,RI,-74.99897,110.52153,
Gozozmak,KY,7.84422,179.01072,
Wijiuv,AE,-10.99295,169.04753,
Teweulo,KS,56.93122,34.9628,
Misjamo,VI,45.53261,102.83867,
Uszusahu,MH,72.10971,4.97105,
Kocsuttaj,NV,-14.59182,109.58291,
Dowazni,GA,-19.62548,50.29429,
Opocuol,WV,51.34882,54.85687,
Tukeamo,PR,-84.0515,140.76013,
Zusujo,MN,27.46849,140.59633,
Cedagev,IL,35.47336,74.44312,
Egosafa,IL,1.22847,46.59799,
Fosuwo,MI,-58.67308,30.84076,
Cuihaba,AP,-64.01724,11.50847,
Coltalis,MN,-6.53191,36.58122,
Zotzokap,MO,-85.54523,54.17651,
Vonrafid,HI,-73.81441,56.27979,
Jesfegbuc,DE,-22.83328,178.06599,
Hogate,UT,-34.27072,131.90644,
Renohfup,AP,-12.07907,42.09562,
Metfetu,MN,-19.76795,28.36652,
Avoikide,WY,26.3261,126.37848,
Zunwakco,SC,-53.53631,104.86126,
Mafonfot,UT,-53.38974,109.14595,
Jafogsas,NJ,-64.30119,42.11041,
Kigijuw,CA,-36.54277,88.20389,
Nevonug,VT,-8.60883,92.65705,
Nuimube,SC,17.34051,34.34202,
Nigpoded,CO,-77.96747,48.10729,
Saucvah,CA,12.62926,43.2962,
Nobburu,FL,-36.34451,144.29905,
Jokbapkuh,MA,-47.92095,71.49473,
Tepmugu,VI,-28.35611,97.90438,
Duudpe,OH,24.06677,166.2621,
Vigida,IN,-73.15998,46.52652,
Ruthokag,AR,25.6903,167.30687,
Rufpuinu,ID,-51.55803,9.89053,
Sinsuwbog,MA,-26.68095,29.63325,
Wopgewcuk,VT,-74.28403,74.80144,
Lizlenon,AS,26.46696,62.07379,
Zezzaos,MS,72.15733,139.81725,
Mavpuleh,WY,61.20125,155.60754,
Dubjiki,NJ,-85.59293,91.4919,
Sogejho,MH,35.39103,85.25504,
Meroom,ND,56.12795,58.74996,
Ofafiviz,LA,65.08972,150.27998,
Ortinre,MP,-38.03522,35.20024,
